,username,profile_link,rating,review_title,review_body
40,Abby Ketner,https://amazon.com/gp/profile/amzn1.account.AFCBRDA5PVSGMXWG6TB76L4BWLUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Great blender with easy clean up!,"Your browser does not support HTML5 video.


   This blender is amazing! I use to blend my ice, almond milk, protein powder, and activate c to make my Orange Creamsicle Shake. Blends well, quickly, and a very easy clean up!!!!"
41,2Kozaks,https://amazon.com/gp/profile/amzn1.account.AGFWU43VEKYYYIOJNGQZPAI4EJSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,This is the blender you want!,We almost chose a competitors “personal” blender. After review we could see the competitors blender was far too small. This blender is an excellent quality. It performs better than expected. And having 2 different size cups you make your drink right in helps busy people with less steps.  The lids for travel make this blender so versatile. Highly recommend.
42,TC,https://amazon.com/gp/profile/amzn1.account.AGUIOZZZT7N727KUDAOJ5NRI325A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4.0,Nice compact blender,The design of the unit is appealing.  The blending power does the job well as there were no chunks of food in the mix.  The bottles are easy to rinse as well as the blade.Great that I can keep on my counter for quick use.
43,Jon,https://amazon.com/gp/profile/amzn1.account.AESS474VIQRBMLCMFS7F7ZKJ5TLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,"Quiet, small, and powerful","I was looking for a small personal blender, as I like to make smoothies after work outs. I came across the HadinEEon smoothie blender, and saw that it was highly reviewed, so I thought I'd give it a try. After making a few smoothies, I am thoroughly impressed with this blender. It hardly takes up any counter space, comes with two different size smoothie containers, and for how powerful it is, it is quiet. If you are looking for a quality single serving blender, this is it!"
44,Florin S,https://amazon.com/gp/profile/amzn1.account.AFSG3AJFD2YDK5274PJOANXWRLJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,"Pretty, High Quality, Easy to clean","I very much like this smoothie blender! High quality. And it doesn’t take too much space in my kitchen. I love that it has 2 size portable bottles, very easy to clean and BPA FREE. I’ve been using it every day since I got it. Crushes ice, nuts, veggies and fruits. Totally recommend."
45,Zytoria,https://amazon.com/gp/profile/amzn1.account.AF7BZPLYOHGDRL23DAIBZXE5TX4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,"Awesome Blender, Quick, Easy, 1-2-3!","I love this blender so far as soon as I got it I started using it ! It’s small just right size in my opinion not to big comes with two bottles that you can switch out. Quick, Easy 1-2-3 which I love! I also love the color and it doesn’t take up much counter space the blending power it excellent .You also get a 3 year warranty once you register it on there website which is great ! Great purchase ! Also in the manual it gives you different drinks to make which I’m excited to try out ! Thank you HadinEEon !"
46,Fuegos4,https://amazon.com/gp/profile/amzn1.account.AEAQ4SPWPEKGVBZG5UXEEPNJCLVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Great Personal Blender.,"This blender is great!  Easy to use, easy to clean and so very convenient.  Comes with two BPA-free containers 20oz & 10oz with lids that you drink your shake from.  Just blend, cover and drink."
47,Higgins,https://amazon.com/gp/profile/amzn1.account.AERKMHGIM3BFPPTLZBVW4OCMTWQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Don't look further!,"I was so excited to try this personal sized blender! I was worried it would be loud and wouldn't blend great. Oh boy was I wrong! This blender is surprisingly quiet and blends super fast! I love how convenient this is and how the cup you blend it in, turns into a to-go drink with a lid!  This has saved me so much money because now I make my smoothies at home.. Great purchase!"
48,DBG,https://amazon.com/gp/profile/amzn1.account.AG2A4A6U5NDHXOQ6ZDXL6LHOUJVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Compact and Sturdy,"Blends well, great to have 2 different size personal blending cups. Looks great on counter top, nice color and compact.  Mix and go, the lids make it quick and easy to store or transport. Great little blender.  Good to travel with too."
49,RW,https://amazon.com/gp/profile/amzn1.account.AEH7YO2UWEBYBQA6VHXWSZCQGELQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Great smoothie machine,"I bought this as a gift for my wife.  After being very impressed by a coffee grinder I bought a few weeks ago made by the same company I thought I would give this smoothie maker a try.  It works great, cleaned up easy, and comes with two individual bottles.  Excellent purchase."
